MUNICIPIO IBGE;Min - DATA INÍCIO;Count - NOME INSTITUIÇÃO                                                                                                                                                                                        ;ano;mês;anomes
1505635;;1;;;
1505700;12/1/2017;1;2017;1;20171
1505809;;2;;;
1505908;8/12/2011;2;2011;12;201112
1506005;12/1/2011;2;2011;1;20111
1506104;;1;;;
1506112;2/11/2022;1;2022;11;202211
1506138;3/5/1976;6;1976;5;19765
1506161;5/9/1991;3;1991;9;19919
1506187;11/8/1982;5;1982;8;19828
1506195;;2;;;
1506203;9/12/2002;4;2002;12;200212
1506302;;1;;;
1506351;6/9/2014;1;2014;9;20149
1506401;6/11/2022;1;2022;11;202211
1506500;4/2/1990;4;1990;2;19902
1506559;;1;;;
1506583;7/1/2021;1;2021;1;20211
1506609;12/3/1986;2;1986;3;19863
1506708;10/5/1977;4;1977;5;19775
1506807;7/2/1940;13;1940;2;19402
1506906;;1;;;
1507003;;1;;;
1507102;;1;;;
1507151;9/12/2011;3;2011;12;201112
1507201;;1;;;
1507300;3/11/1986;5;1986;11;198611
1507409;;1;;;
1507458;11/3/2011;3;2011;3;20113
1507466;4/6/2023;1;2023;6;20236
1507474;;1;;;
1507508;;1;;;
1507607;12/3/1986;5;1986;3;19863
1507706;;1;;;
1507755;;1;;;
1507805;;1;;;
1507904;10/1/1979;3;1979;1;19791
1507953;11/4/2011;5;2011;4;20114
1507961;3/10/2022;1;2022;10;202210
1507979;;2;;;
1508001;11/10/1970;5;1970;10;197010
1508035;;1;;;
1508050;;1;;;
1508084;;4;;;
1508100;3/9/1981;7;1981;9;19819
1508126;;2;;;
1508159;12/10/2004;5;2004;10;200410
1508209;12/6/1989;3;1989;6;19896
1508308;4/9/1990;1;1990;9;19909
1508357;;1;;;
1508407;7/1/1983;5;1983;1;19831
1600105;;1;;;
1600154;;1;;;
1600279;;2;;;
1600303;7/7/1951;25;1951;7;19517
1600402;12/12/2011;1;2011;12;201112
1600501;3/7/1994;3;1994;7;19947
1600535;;1;;;
1600600;7/10/1979;6;1979;10;197910
1700707;;1;;;
1701002;;1;;;
1702000;2/1/1985;3;1985;1;19851
1702109;11/8/1965;11;1965;8;19658
1702208;;4;;;
1702406;;1;;;
1702554;;3;;;
1705508;11/11/1985;4;1985;11;198511
1707009;4/6/1970;3;1970;6;19706
1707702;10/9/1989;1;1989;9;19899
1708205;;2;;;
1709302;5/12/1980;4;1980;12;198012
1709500;4/5/1970;6;1970;5;19705
1711902;8/12/2011;2;2011;12;201112
1713205;7/6/1989;3;1989;6;19896
1713304;;2;;;
1714203;2/6/1962;1;1962;6;19626
1715754;;2;;;
1716109;4/8/1974;6;1974;8;19748
1716505;;2;;;
1716703;;2;;;
1718204;10/7/1956;5;1956;7;19567
1720655;;1;;;
1720903;3/11/1988;3;1988;11;198811
1721000;3/11/1991;28;1991;11;199111
1721208;9/12/2011;4;2011;12;201112
1722107;5/9/1991;2;1991;9;19919
2100055;1/10/1985;6;1985;10;198510
2100204;;1;;;
2100477;;1;;;
2100501;;1;;;
2100600;12/8/2011;2;2011;8;20118
2100709;12/2/2011;1;2011;2;20112
2100832;12/12/2011;1;2011;12;201112
2100907;9/12/2011;2;2011;12;201112
2100956;12/12/2011;1;2011;12;201112
2101004;;1;;;
2101202;11/6/1979;6;1979;6;19796
2101400;10/11/1976;9;1976;11;197611
2101608;11/12/1979;4;1979;12;197912
2101707;4/7/1980;4;1980;7;19807
2101905;12/12/2011;1;2011;12;201112
2102002;11/5/1986;1;1986;5;19865
2102101;12/1/1964;2;1964;1;19641
2102200;;1;;;
2102309;12/8/2011;1;2011;8;20118
2102325;;2;;;
2102556;;1;;;
2102606;12/12/2011;1;2011;12;201112
2102705;;1;;;
2102804;8/1/1950;3;1950;1;19501
2102903;7/9/2010;2;2010;9;20109
2103000;5/8/1940;6;1940;8;19408
2103208;11/12/1979;4;1979;12;197912
2103307;12/1/1943;4;1943;1;19431
2103406;10/1/1979;2;1979;1;19791
2103505;;3;;;
2103604;5/10/1956;3;1956;10;195610
2103703;7/7/1980;2;1980;7;19807
2103802;;2;;;
2103901;;1;;;
2104008;;1;;;
2104057;12/2/1983;4;1983;2;19832
2104099;;1;;;
2104107;12/1/2011;2;2011;1;20111
2104206;12/8/2011;1;2011;8;20118
2104677;;2;;;
2104800;7/6/1964;4;1964;6;19646
2105104;12/12/2011;1;2011;12;201112
2105302;3/10/1964;16;1964;10;196410
2105401;;3;;;
2105427;;1;;;
2105500;;1;;;
2105708;10/1/1979;2;1979;1;19791
2105906;12/12/2011;1;2011;12;201112
2106102;;1;;;
2106326;;1;;;
2106409;12/5/2011;1;2011;5;20115
2106508;12/12/2011;1;2011;12;201112
2107506;8/8/2008;5;2008;8;20088
2107803;11/9/2011;1;2011;9;20119
2108108;;1;;;
2108207;8/10/1979;4;1979;10;197910
2108306;12/12/2011;1;2011;12;201112
2108504;11/5/1986;1;1986;5;19865
2108603;7/11/1970;6;1970;11;197011
2108900;;1;;;
2109007;;3;;;
2109106;10/9/1982;4;1982;9;19829
2109270;12/12/2011;1;2011;12;201112
2109502;12/10/2004;1;2004;10;200410
2109601;;3;;;
2109809;11/1/2011;2;2011;1;20111
2109908;3/12/1979;7;1979;12;197912
2110005;11/5/1986;4;1986;5;19865
2110039;;2;;;
2110104;;1;;;
2110203;12/12/2011;2;2011;12;201112
2110401;12/1/2011;1;2011;1;20111
2110500;;2;;;
2110609;9/12/2011;2;2011;12;201112
2110708;3/2/1988;1;1988;2;19882
2111052;;1;;;
2111102;8/7/2014;4;2014;7;20147
2111201;;5;;;
2111300;4/1/1917;76;1917;1;19171
2111508;;2;;;
2111607;;1;;;
2111706;;1;;;
2111763;;1;;;
2112001;;1;;;
2112209;9/12/1978;5;1978;12;197812
2112308;;1;;;
2112407;;1;;;
2112506;9/12/2011;3;2011;12;201112
2112605;12/12/2011;1;2011;12;201112
2112704;11/12/1986;2;1986;12;198612
2112803;8/4/2014;4;2014;4;20144
2112852;;1;;;
2112902;12/12/2011;3;2011;12;201112
2113009;11/12/1986;2;1986;12;198612
2114007;12/1/1982;4;1982;1;19821
2200202;5/12/1980;3;1980;12;198012
2200400;9/11/1986;3;1986;11;198611
2200509;11/10/2011;1;2011;10;201110
2201200;12/10/2010;3;2010;10;201010
2201507;;1;;;
2201903;12/1/1964;4;1964;1;19641
2202000;9/12/2003;1;2003;12;200312
2202208;2/10/1940;4;1940;10;194010
2202307;5/12/1976;3;1976;12;197612
2202703;;1;;;
2202901;12/11/1978;4;1978;11;197811
2203206;6/2/1980;1;1980;2;19802
2203503;;1;;;
2203701;11/10/2011;4;2011;10;201110
2203909;11/8/1937;5;1937;8;19378
2204303;;1;;;
2204402;;1;;;
2204501;;1;;;
2205102;;1;;;
2205508;;2;;;
2205706;;2;;;
2205805;6/7/1944;1;1944;7;19447
2206209;;1;;;
2207009;3/3/1959;4;1959;3;19593
2207702;6/1/1917;8;1917;1;19171
2207801;8/2/1979;4;1979;2;19792
2207900;11/7/2011;3;2011;7;20117
2208007;4/6/1979;7;1979;6;19796
2208304;12/7/2015;3;2015;7;20157
2208403;7/1/1940;4;1940;1;19401
2208809;3/12/1978;1;1978;12;197812
2208908;;1;;;
2210003;1/5/1963;4;1963;5;19635
2210508;;1;;;
2210607;8/1/1963;4;1963;1;19631
2210805;11/5/1979;1;1979;5;19795
2211001;11/3/1921;47;1921;3;19213
2211100;8/2/1943;4;1943;2;19432
2211209;12/1/1964;4;1964;1;19641
2211308;3/12/1987;4;1987;12;198712
2300200;6/1/1978;4;1978;1;19781
2300309;11/8/2011;4;2011;8;20118
2300705;12/8/2011;1;2011;8;20118
2300754;;2;;;
2301000;11/4/2011;3;2011;4;20114
2301109;5/3/1940;5;1940;3;19403
2301208;;1;;;
2301604;;2;;;
2301703;;1;;;
2301851;;1;;;
2301901;3/1/1979;5;1979;1;19791
2302008;11/7/1986;1;1986;7;19867
2302107;5/6/1982;4;1982;6;19826
2302206;;2;;;
2302305;2/5/1987;2;1987;5;19875
2302404;;4;;;
2302503;12/7/1978;4;1978;7;19787
2302602;7/8/1940;3;1940;8;19408
2302701;5/10/1971;3;1971;10;197110
2302800;;4;;;
2303006;12/2/2011;1;2011;2;20112
2303204;;1;;;
2303501;6/1/1989;4;1989;1;19891
2303709;3/8/1991;9;1991;8;19918
2303808;;1;;;
2304103;12/7/1978;5;1978;7;19787
2304202;9/2/1936;6;1936;2;19362
2304285;3/8/1991;5;1991;8;19918
2304350;;1;;;
2304400;4/10/1946;156;1946;10;194610
2304509;;1;;;
2304707;5/12/1980;3;1980;12;198012
2305001;3/9/1990;2;1990;9;19909
2305209;11/10/2011;2;2011;10;201110
2305233;8/12/2005;4;2005;12;200512
2305308;;1;;;
2305357;;1;;;
2305407;6/1/1989;3;1989;1;19891
2305506;5/3/1940;6;1940;3;19403
2305605;;1;;;
2305704;;1;;;
2305803;6/1/1989;3;1989;1;19891
2305902;;2;;;
2306256;;1;;;
2306306;;4;;;
2306405;2/1/1956;6;1956;1;19561
2306553;;1;;;
2306900;12/6/1978;4;1978;6;19786
2307007;12/10/1986;2;1986;10;198610
2307106;9/11/1986;1;1986;11;198611
2307254;;1;;;
2307304;10/1/1957;11;1957;1;19571
2307403;;1;;;
2307502;;3;;;
2307601;1/2/1959;4;1959;2;19592
2307650;8/8/1986;10;1986;8;19868
2307700;11/6/1978;4;1978;6;19786
2307809;2/5/1987;2;1987;5;19875
2308005;11/10/2011;2;2011;10;201110
2308104;;2;;;
2308302;;1;;;
2308401;;1;;;
2308500;3/7/1972;3;1972;7;19727
2308708;12/10/2010;3;2010;10;201010
2309300;1/2/1959;3;1959;2;19592
2309409;11/3/2011;1;2011;3;20113
2309607;5/2/1979;5;1979;2;19792
2309706;9/10/1986;3;1986;10;198610
2310209;9/10/1986;2;1986;10;198610
2310258;;1;;;
2310308;;1;;;
2310506;;1;;;
2310704;;2;;;
2311306;12/5/1978;6;1978;5;19785
2311405;;4;;;
2311504;;1;;;
