#DATA_BASE;UF;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_432_DEPOSITOS_A_PRAZO;CODMUN_IBGE
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;82933972;52523699;79;190686;0;17440710;63180788;399095;2701704
202306;AL;BCO DO BRASIL S.A.;1;1;224644594;80634533;2328759;53492491;9;11706760;60305333;87806641;2706703
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;161619034;81427280;965840;2284034;0;56007949;121369766;5369693;2706703
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;21686700;18933798;2175713;0;0;0;3737713;4936493;2706703
202306;AL;BCO BRADESCO S.A.;1;1;822146;801774;0;20372;0;0;21242356;17168741;2706703
202306;AL;BCO DO BRASIL S.A.;1;1;94298510;43241323;635734;38518329;0;964514;37541071;11855437;2709400
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;90401429;49247743;66401;187936;0;20971906;73502572;1899616;2709400
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;1246479;400395;817945;0;0;0;330667;284360;2709400
202306;AL;BCO BRADESCO S.A.;1;1;490217;376096;0;111521;0;0;4145211;1551324;2709400
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;11417495;11029729;268028;71454;0;0;4012042;529814;2705002
202306;AL;BCO DO BRASIL S.A.;1;1;118352661;39746468;1428161;31655918;0;35701991;30160340;38624447;2708600
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;138716584;64612794;0;739432;0;68649054;108644845;6855229;2708600
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;7661545;6006858;1437694;0;0;0;203212;4060759;2708600
202306;AL;BCO BRADESCO S.A.;1;1;5417172;3466034;0;1945483;0;0;12004731;9858008;2708600
202306;AL;BCO DO BRASIL S.A.;16;16;3878556702;1515582976;1193353918;172106702;1220;292835456;1067576071;2942431105;2704302
202306;AL;BRB - BCO DE BRASILIA S.A.;1;0;;;;;;;;;
202306;AL;CAIXA ECONOMICA FEDERAL;19;19;8305954662;2224298541;20238525;33630287;0;5317142730;3031595611;1752932470;2704302
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;3;3;148537733;90039466;37771510;20146786;0;45544;10486615;202050181;2704302
202306;AL;BCO SAFRA S.A.;1;1;400988803;383813220;12017507;2676163;0;0;0;0;2704302
202306;AL;ITA� UNIBANCO S.A.;8;8;578412092;547846755;27324955;5532825;0;0;224296162;866508053;2704302
202306;AL;BCO BRADESCO S.A.;8;8;77154250;61906382;0;15044602;0;0;215002219;807124763;2704302
202306;AL;BCO BMG S.A.;1;1;117299375;69515138;0;0;0;0;0;0;2704302
202306;AL;BCO DAYCOVAL S.A;1;1;0;0;0;0;0;0;0;0;2704302
202306;AL;BCO SANTANDER (BRASIL) S.A.;6;6;669723650;738997074;55259360;0;160539;0;137887467;590513255;2704302
202306;AL;BCO DO BRASIL S.A.;1;1;56615090;35074691;774773;943338;0;12544320;28780642;29606486;2707701
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;195743938;65292993;5852;222641;0;139370907;115245282;12909662;2707701
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;10743213;8435389;2291483;0;0;0;213291;957025;2707701
202306;AL;BCO BRADESCO S.A.;1;1;585840;582992;0;0;0;0;3271112;9186574;2707701
202306;AL;BCO DO BRASIL S.A.;2;2;403322495;157595296;7217691;70530082;2;120117536;147650071;98796251;2700300
202306;AL;CAIXA ECONOMICA FEDERAL;4;4;1609391145;430484674;2651070;3032737;0;1227964291;497719596;102961966;2700300
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;39811553;32446452;7243793;0;0;0;5065085;10568152;2700300
202306;AL;ITA� UNIBANCO S.A.;1;1;66115384;65813739;808478;0;0;0;12158044;51094564;2700300
202306;AL;BCO BRADESCO S.A.;1;1;10807880;6485876;0;4318696;0;0;51684112;97669311;2700300
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;8826511;8313655;437413;0;0;0;3868212;5252419;2700706
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;196462190;65265158;63913;75595;0;140367793;59098283;7565322;2706901
202306;AL;BCO DO BRASIL S.A.;1;1;134210139;65156285;1416383;37631261;0;20531692;70829579;9823360;2708808
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;64170252;31929616;91653;731692;0;33545069;30180578;1569880;2708808
202306;AL;BCO BRADESCO S.A.;1;1;1356449;330259;0;1022688;0;0;5445421;1973142;2708808
202306;AL;BCO DO BRASIL S.A.;1;1;122863401;37729684;1551411;69292028;0;3279177;39875960;5509296;2702900
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;92157479;44647155;119351;663633;0;51553429;48698252;104156;2702900
202306;AL;BCO BRADESCO S.A.;1;1;357798;356896;0;0;0;0;7929611;2723870;2702900
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;38919253;35231405;118204;90083;0;5337393;19898525;517238;2703809
202306;AL;BCO DO BRASIL S.A.;1;1;169861703;63546802;1297948;88855356;0;4250556;69819188;11564035;2704401
202306;AL;BCO DO BRASIL S.A.;1;1;71217465;53886406;885200;4710785;0;1232515;43516708;18856350;2708006
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;213046096;110217519;748039;1049368;0;57126198;140434596;40865818;2708006
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;13730966;13009772;591018;66596;0;0;3163224;4905926;2708006
202306;AL;BCO BRADESCO S.A.;1;1;2177053;734280;0;1442394;0;0;11444906;7485333;2708006
202306;AL;BCO DO BRASIL S.A.;1;1;139060360;95988512;2134965;18512090;1;4789340;88358337;13427089;2702405
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;175859110;88490249;226457;911617;0;33841221;152681193;42846;2702405
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;10394465;10291567;67266;0;0;0;439442;777734;2702405
202306;AL;BCO BRADESCO S.A.;1;1;3245342;1778015;0;1419617;0;0;13228154;8456003;2702405
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;51964624;35138444;96452;355986;0;18652080;18236906;103567;2707107
202306;AL;BCO DO BRASIL S.A.;1;1;55858438;40364663;633847;499657;1;1862479;31519972;23851307;2704500
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;47041565;31578084;397010;171110;0;17490623;32192034;2169668;2704500
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;7961974;7407762;305306;0;0;0;659254;308289;2704500
202306;AL;BCO BRADESCO S.A.;1;1;556014;553195;0;0;0;0;3776868;5628331;2704500
202306;AL;BCO DO BRASIL S.A.;1;1;222282747;50947538;1488922;152783265;1;6434454;51319445;19319709;2706307
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;198835888;108655296;136611;2469684;0;56356923;163508999;3853551;2706307
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;25707485;22952244;2673681;0;0;0;3764886;4292131;2706307
202306;AL;ITA� UNIBANCO S.A.;1;1;11621006;11645480;81737;0;0;0;4902162;3531654;2706307
202306;AL;BCO BRADESCO S.A.;1;1;1904149;1538199;0;333588;0;0;30839936;6949341;2706307
202306;AL;BCO DO BRASIL S.A.;1;1;51931801;39173097;253230;7362651;0;316146;42020107;1608256;2700102
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;36526004;26298640;232806;272359;0;11691444;24223950;531;2706406
202306;AL;BCO DO BRASIL S.A.;1;1;70773047;30464343;609834;33583594;5;1219354;29491080;2895270;2709103
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;59166437;34370047;125897;31940;0;26905373;24444344;232857;2701407
202306;AL;BCO BRADESCO S.A.;1;1;364614;222020;0;142594;0;0;1451812;60072431;2701407
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;110634741;62692082;61;140931;0;39923651;91159387;5824201;2707305
202306;AL;BCO BRADESCO S.A.;1;1;800907;587064;0;213240;0;0;5827249;5263424;2707305
202306;AL;BCO DO BRASIL S.A.;1;1;66448031;22739263;440587;29449067;0;7852257;43400879;11214377;2701001
202306;AL;BCO BRADESCO S.A.;1;1;558577;366329;0;192248;0;0;4704409;3317708;2701001
202306;AL;BCO DO BRASIL S.A.;1;1;67061049;26494663;2024137;28016998;0;1753041;41347605;944746211;2702306
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;127289371;53628230;191287;41444258;0;36904294;73912405;2320600;2702306
202306;AL;BCO DO NORDESTE DO BRASIL S.A.;1;1;6941244;6551533;356135;0;0;0;210181;984232;2702306
202306;AL;BCO BRADESCO S.A.;1;1;543953;538709;0;0;0;0;5389195;2885663;2702306
202306;AL;BCO DO BRASIL S.A.;1;1;65488822;35729624;1963555;14085402;0;6052896;32159692;5228112;2705507
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;68750725;29243477;0;219454;0;42059667;23019729;763064;2705507
202306;AL;BCO BRADESCO S.A.;1;1;481062;481062;0;0;0;0;2038037;2043461;2705507
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;121658467;51611096;2807;37232;0;73110337;35917177;2536458;2704708
202306;AL;BCO BRADESCO S.A.;1;1;277904;277904;0;0;0;0;2976396;7550855;2704708
202306;AL;BCO DO BRASIL S.A.;1;1;106368267;46286107;332696;36168492;0;289294;49648700;8779433;2708303
202306;AL;BCO DO BRASIL S.A.;1;1;87047124;60730771;850933;11141767;0;3300948;44295641;8179471;2709152
202306;AL;CAIXA ECONOMICA FEDERAL;1;1;47529598;26291934;11725;506966;0;19136950;34276017;3075944;2709152
202306;AL;BCO BRADESCO S.A.;1;1;582887;582841;0;0;0;0;3103486;11761270;2709152
202306;AM;BCO BRADESCO S.A.;1;1;1457687;442315;0;1013901;0;0;5547687;6289600;1303502
202306;AM;BCO DO BRASIL S.A.;21;21;8680829889;2303614615;5575023338;47236387;21842684;134958954;1025766120;1018469969;1302603
202306;AM;CAIXA ECONOMICA FEDERAL;21;21;9444419664;1934559543;51112906;43600351;0;5713099668;2139168288;4309411046;1302603
202306;AM;BCO DA AMAZONIA S.A.;3;3;1149812950;116342005;961063581;70687595;0;0;15397792;8559628;1302603
202306;AM;BCO INDUSTRIAL DO BRASIL S.A.;1;1;700;0;0;0;0;0;0;0;1302603
202306;AM;BCO SAFRA S.A.;1;1;348139673;319951957;20496211;0;0;0;0;0;1302603
202306;AM;ITA� UNIBANCO S.A.;17;17;1893959342;1856312642;41923855;0;0;0;593913722;2422135617;1302603
202306;AM;BCO BRADESCO S.A.;28;28;165392295;154120013;0;10668638;0;0;1500627252;4014113181;1302603
202306;AM;BCO SOFISA S.A.;1;1;139417971;139355979;16287;0;0;0;0;0;1302603
202306;AM;BCO BMG S.A.;1;1;193012029;45339323;0;0;0;0;0;0;1302603
202306;AM;BCO DAYCOVAL S.A;1;1;0;0;0;0;0;0;0;0;1302603
202306;AM;BCO SANTANDER (BRASIL) S.A.;11;11;1266556984;1273950011;137475297;1117874;0;0;187550265;1267930182;1302603
202306;AM;BCO BRADESCO S.A.;1;1;1352405;1352405;0;0;0;0;12369483;5247122;1300607
202306;AM;BCO BRADESCO S.A.;1;1;454193;353456;0;71511;0;0;7574977;880034;1301506
202306;AM;BCO BRADESCO S.A.;1;1;1004826;614187;0;0;0;0;7797121;3406809;1302306
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;35812656;19584839;0;0;0;2476450;31246650;1260978;1301100
202306;AM;BCO BRADESCO S.A.;1;1;889565;431346;0;72929;0;0;8794120;1994079;1301100
202306;AM;BCO BRADESCO S.A.;1;1;331542;275876;0;52213;0;0;8087749;4116693;1304104
202306;AM;BCO BRADESCO S.A.;1;1;789478;578601;0;210080;0;0;8304997;2561214;1303007
202306;AM;BCO DO BRASIL S.A.;1;1;70120145;56862938;645304;4440254;0;2235466;13727040;14846377;1301902
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;86782832;29160841;547;0;0;17603397;63094827;14484797;1301902
202306;AM;BCO DA AMAZONIA S.A.;1;1;30561429;8472202;18176551;3888753;0;0;4620227;116583;1301902
202306;AM;BCO BRADESCO S.A.;1;1;2846587;2429971;0;374563;0;0;30157180;46892708;1301902
202306;AM;BCO SANTANDER (BRASIL) S.A.;1;1;33956443;39656938;1075877;0;0;0;1238205;6925906;1301902
202306;AM;BCO BRADESCO S.A.;1;1;859502;859339;0;0;0;0;12321073;7277232;1303700
202306;AM;BCO DO BRASIL S.A.;1;1;37309351;31147359;521361;0;0;795986;7420677;7156314;1302405
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;32310019;19472572;3113;0;0;8085369;16928864;5260315;1302405
202306;AM;BCO BRADESCO S.A.;1;1;656650;656528;0;0;0;0;17814928;14493604;1302405
202306;AM;BCO DO BRASIL S.A.;1;1;84543792;75201222;1885969;380672;0;1269796;18261192;7117915;1304203
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;61172799;37295068;0;0;0;29286463;35834909;8321340;1304203
202306;AM;BCO DA AMAZONIA S.A.;1;1;26743588;14339392;11979014;379706;0;0;659447;44990;1304203
202306;AM;BCO BRADESCO S.A.;1;1;3797938;3471666;0;313055;0;0;42501442;12687173;1304203
202306;AM;BCO SANTANDER (BRASIL) S.A.;1;1;3299037;3363634;1797;0;0;0;225692;7874983;1304203
202306;AM;BCO DO BRASIL S.A.;1;1;40518546;32462546;1036741;1832594;0;355649;11475149;459444;1300706
202306;AM;BCO DA AMAZONIA S.A.;1;1;20570240;5789966;139820;14632189;0;0;6041159;441431;1300706
202306;AM;BCO BRADESCO S.A.;1;1;1277438;818290;0;431486;0;0;12637031;4050437;1300706
202306;AM;BCO BRADESCO S.A.;1;1;1387918;1387818;0;0;0;0;12677623;4815163;1301605
202306;AM;BCO BRADESCO S.A.;1;1;1115499;441377;0;674110;0;0;7758061;4306178;1303106
202306;AM;BCO DO BRASIL S.A.;1;1;58926975;44245864;350608;26452;0;2668808;8354921;7387160;1301209
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;29580740;15054387;128;0;0;6499086;16744408;11955116;1301209
202306;AM;BCO DA AMAZONIA S.A.;1;1;13219708;6158189;5888278;1167445;0;0;13079877;97320;1301209
202306;AM;BCO BRADESCO S.A.;1;1;2331225;2048515;0;270099;0;0;21551383;14694462;1301209
202306;AM;BCO BRADESCO S.A.;1;1;838369;775869;0;0;0;0;5801655;5046333;1304302
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;19273274;18409553;0;0;0;2193877;11632351;3346764;1300300
202306;AM;BCO BRADESCO S.A.;1;1;476826;476826;0;0;0;0;11563661;3246364;1300300
202306;AM;BCO DO BRASIL S.A.;1;1;40839109;35325765;20285;1675363;0;326019;11643161;264426;1302702
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;25785698;25722908;0;0;0;981596;5586651;2659483;1302702
202306;AM;BCO BRADESCO S.A.;1;1;489606;489492;0;0;0;0;11504380;3469436;1302702
202306;AM;BCO DO BRASIL S.A.;1;1;65486107;59617050;1235579;0;0;218398;12329630;1461338;1303809
202306;AM;BCO BRADESCO S.A.;1;1;1735993;1732900;0;0;0;0;23943409;4463225;1303809
202306;AM;BCO DO BRASIL S.A.;1;1;41714157;37195393;397522;151863;0;215708;12564632;10881784;1302504
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;82673184;29332396;5000;0;0;29645836;52244685;21474490;1302504
202306;AM;BCO DA AMAZONIA S.A.;1;1;10687884;6450036;1898508;2288854;0;0;438613;2163;1302504
202306;AM;ITA� UNIBANCO S.A.;1;1;16681431;16572277;179345;0;0;0;6680680;3138155;1302504
202306;AM;BCO BRADESCO S.A.;1;1;2322651;2168323;0;148965;0;0;30742625;24511873;1302504
202306;AM;BCO SANTANDER (BRASIL) S.A.;1;1;2037936;2122627;0;0;0;0;9689;2186371;1302504
202306;AM;BCO BRADESCO S.A.;1;1;474665;416522;0;57844;0;0;7779274;3715026;1303205
202306;AM;BCO DO BRASIL S.A.;1;1;39767802;31161376;299999;5175228;69;347110;3792296;1723257;1300805
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;24027229;15729294;38615;0;0;9273148;6082673;1950608;1300805
202306;AM;BCO BRADESCO S.A.;1;1;583547;573632;0;0;0;0;8423303;2453579;1300805
202306;AM;BCO DO BRASIL S.A.;1;1;83870073;47312695;700812;27116524;0;1679031;14979950;3874817;1301704
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;103552643;30183646;85656;67413313;0;9317963;11123619;7617018;1301704
202306;AM;BCO DA AMAZONIA S.A.;1;1;63426269;15390009;22638036;25033559;0;0;5824707;275710;1301704
202306;AM;BCO BRADESCO S.A.;1;1;2362840;2155309;0;0;0;0;16369539;9815841;1301704
202306;AM;BCO DO BRASIL S.A.;1;1;23205302;20601785;409568;330209;0;123692;2419743;710101;1300409
202306;AM;BCO BRADESCO S.A.;1;1;407350;403299;0;0;0;0;7009318;2662540;1300409
202306;AM;BCO BRADESCO S.A.;1;1;447966;444748;0;0;0;0;5434230;2750823;1303304
202306;AM;BCO BRADESCO S.A.;1;1;1356389;457020;0;899256;0;0;15642956;4747890;1301308
202306;AM;BCO BRADESCO S.A.;1;1;460592;325100;0;134698;0;0;9013021;2303396;1300904
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;21407127;21122729;0;0;0;1283852;5882250;3966461;1303908
202306;AM;BCO BRADESCO S.A.;1;1;1271175;1005297;0;251390;0;0;8180105;4567542;1303908
202306;AM;BCO DO BRASIL S.A.;1;1;119191346;90510370;957535;4832;0;20477509;18412903;18713670;1303403
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;98873365;57104597;14449;492029;0;47820687;59544968;19524437;1303403
202306;AM;BCO DA AMAZONIA S.A.;1;1;13879514;6911891;3272288;3629872;0;0;7598608;68142;1303403
202306;AM;ITA� UNIBANCO S.A.;1;1;17528999;17146420;259845;0;0;0;2967051;6972943;1303403
202306;AM;BCO BRADESCO S.A.;1;1;1596462;1593829;0;0;0;0;25894090;29333627;1303403
202306;AM;BCO SANTANDER (BRASIL) S.A.;1;1;193805;176871;0;0;0;0;12437;3737940;1303403
202306;AM;BCO BRADESCO S.A.;1;1;960893;648161;0;302565;0;0;4698017;1685589;1300508
202306;AM;BCO DO BRASIL S.A.;1;1;25016107;21315025;158636;0;0;135813;12226256;2855543;1301407
202306;AM;BCO BRADESCO S.A.;1;1;745665;373974;0;267165;0;0;12960445;3893294;1301407
202306;AM;BCO DO BRASIL S.A.;1;1;22276948;18826631;211823;123106;0;532419;5470340;168847;1302900
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;74155896;53018658;0;0;0;24309446;13686802;10071051;1302900
202306;AM;BCO DA AMAZONIA S.A.;1;1;7208317;6036432;252775;893668;0;0;3912791;35920;1302900
202306;AM;BCO BRADESCO S.A.;1;1;1199853;990949;0;206654;0;0;13278788;5456736;1302900
202306;AM;BCO DO BRASIL S.A.;1;1;24054630;20840559;57483;0;0;366417;13061475;3019161;1301001
202306;AM;BCO DA AMAZONIA S.A.;1;1;1453210;1452422;0;0;0;0;1373904;63327;1301001
202306;AM;BCO BRADESCO S.A.;1;1;455642;454301;0;0;0;0;20256641;4839300;1301001
202306;AM;BCO BRADESCO S.A.;1;1;267742;266847;0;0;0;0;5532727;1952851;1301803
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;18005346;13177142;0;0;0;6008933;8286575;3487588;1303569
202306;AM;BCO BRADESCO S.A.;1;1;430305;430305;0;0;0;0;6608489;5614727;1303569
202306;AM;BCO BRADESCO S.A.;1;1;362726;358515;0;0;0;0;4449007;2367018;1300631
202306;AM;BCO BRADESCO S.A.;1;1;3198160;198701;0;0;0;0;4054008;3108893;1302553
202306;AM;BCO BRADESCO S.A.;1;1;5803567;859481;0;4942075;0;0;11342807;11983729;1300144
202306;AM;BCO DO BRASIL S.A.;1;1;81254857;72283787;328086;0;2;1522906;13322560;17722421;1304062
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;51155416;27151734;5985;0;0;5565428;31187062;15768852;1304062
202306;AM;BCO BRADESCO S.A.;1;1;1276119;1252846;0;0;0;0;23297445;14550441;1304062
202306;AM;BCO DO BRASIL S.A.;1;1;25313731;18709936;649552;2009374;0;460185;9037337;9514580;1303536
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;42104642;22696120;5207;0;0;7805768;13394735;24942172;1303536
202306;AM;BCO BRADESCO S.A.;1;1;611797;610999;0;0;0;0;9957094;4951819;1303536
202306;AM;CAIXA ECONOMICA FEDERAL;1;1;53299982;15539199;311715;0;0;40186733;16260565;5683972;1301852
202306;AM;BCO BRADESCO S.A.;1;1;1121400;633134;0;471860;0;0;9941044;4002189;1301852
